Number CIMP-,Number CIMP+,Total # of Features,TP,FP,TN,FN
4,2,91,28,21,171,4
4,3,13,23,14,178,9
4,4,11,23,13,179,9
4,5,9,23,10,182,9
4,6,7,22,10,182,10
4,8,3,19,8,184,13
4,10,1,16,4,188,16
4,12,1,16,4,188,16
4,13,1,16,4,188,16
4,14,1,16,4,188,16
4,15,1,16,4,188,16
4,16,1,16,4,188,16
3,2,86,28,10,182,4
3,3,9,20,7,185,12
3,4,8,20,7,185,12
3,5,7,19,7,185,13
3,6,5,18,7,185,14
3,8,2,14,5,187,18
3,10,0,0,0,192,32
3,12,0,0,0,192,32
3,13,0,0,0,192,32
3,14,0,0,0,192,32
3,15,0,0,0,192,32
3,16,0,0,0,192,32
2,2,84,28,10,182,4
2,3,7,19,3,189,13
2,4,6,19,3,189,13
2,5,5,17,3,189,15
2,6,3,14,3,189,18
2,8,0,0,0,192,32
2,10,0,0,0,192,32
2,12,0,0,0,192,32
2,13,0,0,0,192,32
2,14,0,0,0,192,32
2,15,0,0,0,192,32
2,16,0,0,0,192,32
1,2,82,28,8,184,4
1,3,6,17,3,189,15
1,4,5,17,3,189,15
1,5,4,15,3,189,17
1,6,2,12,2,190,20
1,8,0,0,0,192,32
1,10,0,0,0,192,32
1,12,0,0,0,192,32
1,13,0,0,0,192,32
1,14,0,0,0,192,32
1,15,0,0,0,192,32
1,16,0,0,0,192,32
0,2,68,27,0,192,5
